Stock,Portfolio,Beta
KPRMILL.NS,CPI,0.5571168137537047
RKFORGE.NS,GDP,0.7498383697927686
RKFORGE.NS,IIP,0.4867662734676165
RKFORGE.NS,CPI,0.5063465241419898
CUB.NS,GDP,0.6873228183541549
CUB.NS,IIP,0.411805872813451
CUB.NS,CPI,0.519736226110855
GODREJIND.NS,GDP,0.7203279293368783
GODREJIND.NS,IIP,0.958985298641065
GODREJIND.NS,CPI,0.5695683085330995
JSWHL.NS,GDP,0.8275843501315894
JSWHL.NS,IIP,0.5691674441824023
JSWHL.NS,CPI,0.6104134601404558
AARTIIND.NS,GDP,0.6497976016151589
AARTIIND.NS,IIP,0.47188985247055776
AARTIIND.NS,CPI,0.5860002178846847
WELCORP.NS,GDP,0.983671622377728
WELCORP.NS,IIP,0.7673479955802807
WELCORP.NS,CPI,0.8029752681739887
HFCL.NS,GDP,1.0555117840664838
HFCL.NS,IIP,0.8567102097308965
HFCL.NS,CPI,0.8884870979073101
RADICO.NS,GDP,0.6592815609498709
RADICO.NS,IIP,0.4582323162103672
RADICO.NS,CPI,0.5369536251116513
HDFCBANK.NS,GDP,0.6071165506343699
HDFCBANK.NS,IIP,0.299560950988532
HDFCBANK.NS,CPI,0.396947703448846
MASTEK.NS,GDP,0.9225512334563447
MASTEK.NS,IIP,0.5525005497279322
MASTEK.NS,CPI,0.6230340143544301
CIPLA.NS,GDP,0.4137262264989475
CIPLA.NS,IIP,0.2585942029872092
CIPLA.NS,CPI,0.40003069616863285
CANBK.NS,GDP,1.1562522539183464
CANBK.NS,IIP,0.8124781648937726
CANBK.NS,CPI,0.7522340088300108
HCLTECH.NS,GDP,0.4170876232576466
HCLTECH.NS,IIP,0.17960919345810508
HCLTECH.NS,CPI,0.33124128084846227
JBMA.NS,GDP,0.7406681490107594
JBMA.NS,IIP,0.5543160993179935
JBMA.NS,CPI,0.6650527634493856
FINCABLES.NS,GDP,0.6002994440034042
FINCABLES.NS,IIP,0.43256658741267656
FINCABLES.NS,CPI,0.4825731375240458
BPCL.NS,GDP,0.7370157565538304
BPCL.NS,IIP,0.46608172986182717
BPCL.NS,CPI,0.535611152087381
COROMANDEL.NS,GDP,0.48059784993899535
COROMANDEL.NS,IIP,0.4152955263477767
COROMANDEL.NS,CPI,0.48182244935913726
CONCOR.NS,GDP,0.6836830769888589
CONCOR.NS,IIP,0.4338715167893922
CONCOR.NS,CPI,0.5260705156961656
REDINGTON.NS,GDP,0.6248831096963102
REDINGTON.NS,IIP,0.4028523723470446
REDINGTON.NS,CPI,0.47626694122353597
DCMSHRIRAM.NS,GDP,0.6653611153245237
DCMSHRIRAM.NS,IIP,0.5641053006751406
DCMSHRIRAM.NS,CPI,0.5649580579512242
AXISBANK.NS,GDP,0.9086755222500403
AXISBANK.NS,IIP,0.5018471950161992
AXISBANK.NS,CPI,0.537659386148717
IGL.NS,GDP,0.629772991247709
IGL.NS,IIP,0.3989115945610872
